Area Name,Sex,Age group,Life expectancy (years) ,Lower confidence interval,upper CI,Countries
West Lothian,Male,60 to 64,21.14,20.78,21.5,Scotland
West Lothian,Male,65 to 69,17.24,16.9,17.58,Scotland
West Lothian,Male,70 to 74,13.67,13.34,14,Scotland
West Lothian,Male,75 to 79,10.56,10.24,10.88,Scotland
West Lothian,Male,80 to 84,8.04,7.71,8.37,Scotland
West Lothian,Male,85 to 89,5.94,5.57,6.32,Scotland
West Lothian,Male,90+,4.56,4,5.13,Scotland
Angus,Male,<1,78.22,77.54,78.89,Scotland
Angus,Male,01 to 04,77.61,76.99,78.22,Scotland
Angus,Male,05 to 09,73.61,72.99,74.22,Scotland
Angus,Male,10 to 14,68.76,68.16,69.36,Scotland
Angus,Male,15 to 19,63.76,63.16,64.36,Scotland
Angus,Male,20 to 24,58.89,58.3,59.47,Scotland
Angus,Male,25 to 29,54.13,53.57,54.69,Scotland
Angus,Male,30 to 34,49.27,48.72,49.82,Scotland
Angus,Male,35 to 39,44.51,43.98,45.04,Scotland
Angus,Male,40 to 44,40.02,39.53,40.51,Scotland
Angus,Male,45 to 49,35.54,35.09,36,Scotland
Angus,Male,50 to 54,31.02,30.59,31.45,Scotland
Angus,Male,55 to 59,26.73,26.33,27.14,Scotland
Angus,Male,60 to 64,22.37,21.98,22.75,Scotland
Angus,Male,65 to 69,18.36,18,18.72,Scotland
Angus,Male,70 to 74,14.6,14.26,14.93,Scotland
Angus,Male,75 to 79,11.2,10.88,11.52,Scotland
Angus,Male,80 to 84,8.31,8,8.62,Scotland
Angus,Male,85 to 89,5.74,5.42,6.06,Scotland
Angus,Male,90+,3.89,3.47,4.32,Scotland
Dundee City,Male,<1,73.95,73.34,74.57,Scotland
Dundee City,Male,01 to 04,73.34,72.76,73.92,Scotland
Dundee City,Male,05 to 09,69.47,68.91,70.03,Scotland
Dundee City,Male,10 to 14,64.5,63.94,65.06,Scotland
Dundee City,Male,15 to 19,59.5,58.94,60.06,Scotland
Dundee City,Male,20 to 24,54.59,54.04,55.15,Scotland
Dundee City,Male,25 to 29,49.72,49.17,50.27,Scotland
Dundee City,Male,30 to 34,45.06,44.53,45.6,Scotland
Dundee City,Male,35 to 39,40.22,39.68,40.75,Scotland
Dundee City,Male,40 to 44,35.85,35.34,36.36,Scotland
Dundee City,Male,45 to 49,31.59,31.11,32.07,Scotland
Dundee City,Male,50 to 54,27.68,27.25,28.12,Scotland
Dundee City,Male,55 to 59,23.8,23.39,24.2,Scotland
Dundee City,Male,60 to 64,19.92,19.54,20.3,Scotland
Dundee City,Male,65 to 69,16.24,15.89,16.6,Scotland
Dundee City,Male,70 to 74,12.92,12.59,13.25,Scotland
Dundee City,Male,75 to 79,9.98,9.67,10.29,Scotland
Dundee City,Male,80 to 84,7.42,7.12,7.71,Scotland
Dundee City,Male,85 to 89,5.53,5.23,5.84,Scotland
Dundee City,Male,90+,3.77,3.35,4.19,Scotland
Falkirk,Male,<1,76.17,75.63,76.72,Scotland
Falkirk,Male,01 to 04,75.44,74.93,75.96,Scotland
Falkirk,Male,05 to 09,71.44,70.93,71.96,Scotland
Falkirk,Male,10 to 14,66.47,65.96,66.98,Scotland
Falkirk,Male,15 to 19,61.51,61,62.02,Scotland
Falkirk,Male,20 to 24,56.62,56.12,57.12,Scotland
Falkirk,Male,25 to 29,51.9,51.42,52.38,Scotland
Falkirk,Male,30 to 34,47.21,46.75,47.68,Scotland
Falkirk,Male,35 to 39,42.59,42.14,43.03,Scotland
Falkirk,Male,40 to 44,37.86,37.43,38.29,Scotland
Falkirk,Male,45 to 49,33.43,33.03,33.83,Scotland
Falkirk,Male,50 to 54,29.12,28.74,29.5,Scotland
Falkirk,Male,55 to 59,24.89,24.53,25.25,Scotland
Falkirk,Male,60 to 64,20.84,20.49,21.18,Scotland
Falkirk,Male,65 to 69,16.97,16.65,17.3,Scotland
Falkirk,Male,70 to 74,13.35,13.05,13.66,Scotland
Falkirk,Male,75 to 79,10.17,9.88,10.46,Scotland
Falkirk,Male,80 to 84,7.54,7.26,7.83,Scotland
Falkirk,Male,85 to 89,5.55,5.25,5.85,Scotland
Falkirk,Male,90+,3.86,3.43,4.3,Scotland
Midlothian,Male,<1,77.41,76.7,78.12,Scotland
Midlothian,Male,01 to 04,76.6,75.92,77.29,Scotland
Midlothian,Male,05 to 09,72.65,71.97,73.33,Scotland
Midlothian,Male,10 to 14,67.69,67.01,68.36,Scotland
Midlothian,Male,15 to 19,62.72,62.05,63.39,Scotland
Midlothian,Male,20 to 24,57.76,57.1,58.43,Scotland
Midlothian,Male,25 to 29,53.11,52.48,53.74,Scotland
Midlothian,Male,30 to 34,48.47,47.87,49.07,Scotland
Midlothian,Male,35 to 39,43.69,43.11,44.28,Scotland
Midlothian,Male,40 to 44,39.08,38.52,39.64,Scotland
Midlothian,Male,45 to 49,34.43,33.9,34.97,Scotland
Midlothian,Male,50 to 54,29.99,29.49,30.5,Scotland
Midlothian,Male,55 to 59,25.68,25.19,26.16,Scotland
Midlothian,Male,60 to 64,21.45,21,21.91,Scotland
Midlothian,Male,65 to 69,17.39,16.96,17.83,Scotland
Midlothian,Male,70 to 74,13.53,13.12,13.95,Scotland
Midlothian,Male,75 to 79,10.36,9.96,10.76,Scotland
Midlothian,Male,80 to 84,7.62,7.21,8.03,Scotland
Midlothian,Male,85 to 89,5.85,5.39,6.31,Scotland
Midlothian,Male,90+,4.16,3.51,4.8,Scotland
Orkney Islands,Male,<1,79.46,77.87,81.05,Scotland
Orkney Islands,Male,01 to 04,78.76,77.27,80.24,Scotland
Orkney Islands,Male,05 to 09,74.76,73.27,76.24,Scotland
Orkney Islands,Male,10 to 14,69.76,68.27,71.24,Scotland
Orkney Islands,Male,15 to 19,64.76,63.27,66.24,Scotland
Orkney Islands,Male,20 to 24,59.94,58.49,61.39,Scotland
Orkney Islands,Male,25 to 29,55.3,53.94,56.67,Scotland
Orkney Islands,Male,30 to 34,50.74,49.46,52.03,Scotland
Orkney Islands,Male,35 to 39,45.87,44.61,47.13,Scotland
Orkney Islands,Male,40 to 44,41.6,40.46,42.74,Scotland
Orkney Islands,Male,45 to 49,36.94,35.85,38.02,Scotland
Orkney Islands,Male,50 to 54,32.4,31.38,33.42,Scotland
Orkney Islands,Male,55 to 59,27.82,26.83,28.81,Scotland
Orkney Islands,Male,60 to 64,23.59,22.64,24.54,Scotland
Orkney Islands,Male,65 to 69,19.33,18.41,20.25,Scotland
Orkney Islands,Male,70 to 74,15.7,14.82,16.57,Scotland
Orkney Islands,Male,75 to 79,12.16,11.3,13.03,Scotland
Orkney Islands,Male,80 to 84,9.28,8.4,10.17,Scotland
Orkney Islands,Male,85 to 89,6.68,5.69,7.67,Scotland
Orkney Islands,Male,90+,5.2,3.77,6.62,Scotland
South Ayrshire,Male,<1,76.64,75.98,77.31,Scotland
South Ayrshire,Male,01 to 04,75.82,75.19,76.46,Scotland
South Ayrshire,Male,05 to 09,71.87,71.24,72.5,Scotland
South Ayrshire,Male,10 to 14,66.87,66.24,67.5,Scotland
South Ayrshire,Male,15 to 19,61.87,61.24,62.5,Scotland
South Ayrshire,Male,20 to 24,57.01,56.4,57.63,Scotland
South Ayrshire,Male,25 to 29,52.2,51.6,52.8,Scotland
South Ayrshire,Male,30 to 34,47.41,46.82,47.99,Scotland
South Ayrshire,Male,35 to 39,42.79,42.24,43.34,Scotland
South Ayrshire,Male,40 to 44,38.31,37.8,38.82,Scotland
South Ayrshire,Male,45 to 49,33.79,33.32,34.27,Scotland
South Ayrshire,Male,50 to 54,29.62,29.2,30.05,Scotland
South Ayrshire,Male,55 to 59,25.33,24.93,25.73,Scotland
South Ayrshire,Male,60 to 64,21.31,20.94,21.68,Scotland
South Ayrshire,Male,65 to 69,17.46,17.12,17.81,Scotland
South Ayrshire,Male,70 to 74,13.91,13.59,14.22,Scotland
South Ayrshire,Male,75 to 79,10.48,10.18,10.78,Scotland
South Ayrshire,Male,80 to 84,7.7,7.4,7.99,Scotland
South Ayrshire,Male,85 to 89,5.73,5.41,6.04,Scotland
South Ayrshire,Male,90+,4.04,3.59,4.48,Scotland
Argyll and Bute,Male,<1,77.67,76.92,78.43,Scotland
Argyll and Bute,Male,01 to 04,76.84,76.12,77.57,Scotland
Argyll and Bute,Male,05 to 09,72.91,72.2,73.63,Scotland
Argyll and Bute,Male,10 to 14,67.91,67.2,68.63,Scotland
Argyll and Bute,Male,15 to 19,62.96,62.26,63.67,Scotland
Argyll and Bute,Male,20 to 24,58.18,57.5,58.86,Scotland
Argyll and Bute,Male,25 to 29,53.28,52.61,53.95,Scotland
Argyll and Bute,Male,30 to 34,48.56,47.91,49.2,Scotland
Argyll and Bute,Male,35 to 39,43.95,43.35,44.56,Scotland
Argyll and Bute,Male,40 to 44,39.21,38.63,39.8,Scotland
Argyll and Bute,Male,45 to 49,34.7,34.15,35.24,Scotland
Argyll and Bute,Male,50 to 54,30.44,29.95,30.94,Scotland
Argyll and Bute,Male,55 to 59,26.27,25.81,26.73,Scotland
Argyll and Bute,Male,60 to 64,22.13,21.7,22.56,Scotland
Argyll and Bute,Male,65 to 69,18.03,17.62,18.44,Scotland
Argyll and Bute,Male,70 to 74,14.4,14.02,14.78,Scotland
Argyll and Bute,Male,75 to 79,10.99,10.61,11.36,Scotland
Argyll and Bute,Male,80 to 84,8.28,7.9,8.65,Scotland
Argyll and Bute,Male,85 to 89,5.9,5.49,6.31,Scotland
Argyll and Bute,Male,90+,4.28,3.69,4.86,Scotland
East Ayrshire,Male,<1,74.8,74.14,75.45,Scotland
East Ayrshire,Male,01 to 04,74.06,73.43,74.68,Scotland
East Ayrshire,Male,05 to 09,70.09,69.48,70.71,Scotland
East Ayrshire,Male,10 to 14,65.09,64.48,65.71,Scotland
East Ayrshire,Male,15 to 19,60.09,59.48,60.71,Scotland
East Ayrshire,Male,20 to 24,55.18,54.57,55.8,Scotland
East Ayrshire,Male,25 to 29,50.48,49.89,51.07,Scotland
East Ayrshire,Male,30 to 34,45.96,45.4,46.52,Scotland
East Ayrshire,Male,35 to 39,41.4,40.87,41.94,Scotland
East Ayrshire,Male,40 to 44,36.97,36.47,37.47,Scotland
East Ayrshire,Male,45 to 49,32.59,32.12,33.06,Scotland
East Ayrshire,Male,50 to 54,28.5,28.08,28.93,Scotland
East Ayrshire,Male,55 to 59,24.38,23.98,24.78,Scotland
East Ayrshire,Male,60 to 64,20.33,19.96,20.71,Scotland
East Ayrshire,Male,65 to 69,16.43,16.07,16.78,Scotland
East Ayrshire,Male,70 to 74,13.12,12.79,13.45,Scotland
East Ayrshire,Male,75 to 79,9.96,9.64,10.27,Scotland
East Ayrshire,Male,80 to 84,7.43,7.12,7.75,Scotland
East Ayrshire,Male,85 to 89,5.35,5,5.7,Scotland
East Ayrshire,Male,90+,4.09,3.53,4.64,Scotland
Fife,Male,<1,76.95,76.58,77.31,Scotland
Fife,Male,01 to 04,76.21,75.86,76.55,Scotland
Fife,Male,05 to 09,72.22,71.87,72.57,Scotland
Fife,Male,10 to 14,67.24,66.89,67.59,Scotland
Fife,Male,15 to 19,62.3,61.96,62.64,Scotland
Fife,Male,20 to 24,57.45,57.11,57.79,Scotland
Fife,Male,25 to 29,52.67,52.34,52.99,Scotland
Fife,Male,30 to 34,47.96,47.65,48.28,Scotland
Fife,Male,35 to 39,43.24,42.94,43.55,Scotland
Fife,Male,40 to 44,38.78,38.5,39.07,Scotland
Fife,Male,45 to 49,34.34,34.07,34.61,Scotland
Fife,Male,50 to 54,29.97,29.72,30.22,Scotland
Fife,Male,55 to 59,25.74,25.51,25.98,Scotland
Fife,Male,60 to 64,21.54,21.31,21.76,Scotland
Fife,Male,65 to 69,17.64,17.43,17.85,Scotland
Fife,Male,70 to 74,14.04,13.85,14.24,Scotland
Fife,Male,75 to 79,10.73,10.54,10.92,Scotland
Fife,Male,80 to 84,8,7.81,8.19,Scotland
Fife,Male,85 to 89,5.74,5.54,5.95,Scotland
Fife,Male,90+,4.1,3.81,4.39,Scotland
Moray,Male,<1,78.09,77.35,78.84,Scotland
Moray,Male,01 to 04,77.65,76.99,78.3,Scotland
Moray,Male,05 to 09,73.65,72.99,74.3,Scotland
Moray,Male,10 to 14,68.65,67.99,69.3,Scotland
Moray,Male,15 to 19,63.69,63.03,64.34,Scotland
Moray,Male,20 to 24,58.84,58.2,59.47,Scotland
Moray,Male,25 to 29,54.04,53.42,54.66,Scotland
Moray,Male,30 to 34,49.31,48.72,49.91,Scotland
Moray,Male,35 to 39,44.54,43.97,45.12,Scotland
Moray,Male,40 to 44,39.92,39.37,40.47,Scotland
Moray,Male,45 to 49,35.34,34.82,35.86,Scotland
Moray,Male,50 to 54,30.84,30.35,31.33,Scotland
Moray,Male,55 to 59,26.64,26.17,27.1,Scotland
Moray,Male,60 to 64,22.34,21.9,22.78,Scotland
Moray,Male,65 to 69,18.22,17.81,18.64,Scotland
Moray,Male,70 to 74,14.42,14.02,14.81,Scotland
Moray,Male,75 to 79,10.97,10.58,11.35,Scotland
Moray,Male,80 to 84,8.31,7.93,8.69,Scotland
Moray,Male,85 to 89,6.21,5.8,6.62,Scotland
Moray,Male,90+,4.38,3.83,4.94,Scotland
Perth and Kinross,Male,<1,78.7,78.11,79.29,Scotland
Perth and Kinross,Male,01 to 04,78.04,77.49,78.58,Scotland
Perth and Kinross,Male,05 to 09,74.11,73.58,74.65,Scotland
Perth and Kinross,Male,10 to 14,69.11,68.58,69.65,Scotland
Perth and Kinross,Male,15 to 19,64.11,63.58,64.65,Scotland
Perth and Kinross,Male,20 to 24,59.24,58.72,59.77,Scotland
Perth and Kinross,Male,25 to 29,54.55,54.05,55.05,Scotland
Perth and Kinross,Male,30 to 34,49.69,49.19,50.18,Scotland
Perth and Kinross,Male,35 to 39,45.17,44.71,45.63,Scotland
Perth and Kinross,Male,40 to 44,40.6,40.17,41.04,Scotland
Perth and Kinross,Male,45 to 49,35.93,35.51,36.34,Scotland
Perth and Kinross,Male,50 to 54,31.42,31.03,31.81,Scotland
Perth and Kinross,Male,55 to 59,27.19,26.82,27.55,Scotland
Perth and Kinross,Male,60 to 64,22.95,22.6,23.3,Scotland
Perth and Kinross,Male,65 to 69,18.86,18.53,19.19,Scotland
Perth and Kinross,Male,70 to 74,15.15,14.84,15.46,Scotland
Perth and Kinross,Male,75 to 79,11.67,11.37,11.97,Scotland
Perth and Kinross,Male,80 to 84,8.64,8.35,8.93,Scotland
Perth and Kinross,Male,85 to 89,6.19,5.89,6.49,Scotland
Perth and Kinross,Male,90+,4.43,4.02,4.85,Scotland
South Lanarkshire,Male,<1,76.04,75.66,76.42,Scotland
South Lanarkshire,Male,01 to 04,75.25,74.88,75.61,Scotland
South Lanarkshire,Male,05 to 09,71.26,70.9,71.63,Scotland
South Lanarkshire,Male,10 to 14,66.26,65.9,66.63,Scotland
South Lanarkshire,Male,15 to 19,61.33,60.97,61.69,Scotland
South Lanarkshire,Male,20 to 24,56.44,56.08,56.79,Scotland
South Lanarkshire,Male,25 to 29,51.7,51.36,52.04,Scotland
South Lanarkshire,Male,30 to 34,46.91,46.58,47.24,Scotland
South Lanarkshire,Male,35 to 39,42.33,42.02,42.65,Scotland
South Lanarkshire,Male,40 to 44,37.79,37.49,38.09,Scotland
South Lanarkshire,Male,45 to 49,33.38,33.1,33.66,Scotland
South Lanarkshire,Male,50 to 54,29.01,28.75,29.27,Scotland
South Lanarkshire,Male,55 to 59,24.78,24.53,25.02,Scotland
South Lanarkshire,Male,60 to 64,20.7,20.47,20.93,Scotland
South Lanarkshire,Male,65 to 69,16.88,16.66,17.09,Scotland
South Lanarkshire,Male,70 to 74,13.33,13.12,13.53,Scotland
South Lanarkshire,Male,75 to 79,10.03,9.84,10.22,Scotland
South Lanarkshire,Male,80 to 84,7.27,7.09,7.46,Scotland
South Lanarkshire,Male,85 to 89,5.14,4.95,5.32,Scotland
South Lanarkshire,Male,90+,3.39,3.13,3.64,Scotland
Scotland,Female,<1,80.72,80.63,80.8,Scotland
Scotland,Female,01 to 04,79.98,79.9,80.07,Scotland
Scotland,Female,05 to 09,76.02,75.94,76.1,Scotland
Scotland,Female,10 to 14,71.04,70.96,71.12,Scotland
Scotland,Female,15 to 19,66.07,65.99,66.14,Scotland
Scotland,Female,20 to 24,61.12,61.04,61.2,Scotland
Scotland,Female,25 to 29,56.22,56.14,56.29,Scotland
Scotland,Female,30 to 34,51.33,51.26,51.41,Scotland
Scotland,Female,35 to 39,46.49,46.41,46.56,Scotland
Scotland,Female,40 to 44,41.73,41.66,41.8,Scotland
Scotland,Female,45 to 49,37.08,37.01,37.15,Scotland
Scotland,Female,50 to 54,32.53,32.47,32.6,Scotland
Scotland,Female,55 to 59,28.08,28.01,28.14,Scotland
Scotland,Female,60 to 64,23.75,23.69,23.81,Scotland
Scotland,Female,65 to 69,19.61,19.55,19.66,Scotland
Scotland,Female,70 to 74,15.73,15.68,15.78,Scotland
Scotland,Female,75 to 79,12.13,12.08,12.18,Scotland
Scotland,Female,80 to 84,8.96,8.92,9.01,Scotland
Scotland,Female,85 to 89,6.35,6.3,6.39,Scotland
Scotland,Female,90+,4.32,4.26,4.38,Scotland
Edinburgh,Female,<1,82.22,81.93,82.51,Scotland
Edinburgh,Female,01 to 04,81.5,81.23,81.76,Scotland
Edinburgh,Female,05 to 09,77.52,77.25,77.79,Scotland
Edinburgh,Female,10 to 14,72.53,72.26,72.8,Scotland
Edinburgh,Female,15 to 19,67.55,67.28,67.81,Scotland
Edinburgh,Female,20 to 24,62.57,62.31,62.84,Scotland
Edinburgh,Female,25 to 29,57.64,57.37,57.9,Scotland
Edinburgh,Female,30 to 34,52.7,52.44,52.96,Scotland
Edinburgh,Female,35 to 39,47.78,47.52,48.04,Scotland
Edinburgh,Female,40 to 44,42.91,42.65,43.17,Scotland
Edinburgh,Female,45 to 49,38.17,37.92,38.42,Scotland
Edinburgh,Female,50 to 54,33.55,33.3,33.79,Scotland
Edinburgh,Female,55 to 59,29.04,28.81,29.27,Scotland
Edinburgh,Female,60 to 64,24.72,24.5,24.94,Scotland
Edinburgh,Female,65 to 69,20.51,20.3,20.72,Scotland
Edinburgh,Female,70 to 74,16.52,16.33,16.72,Scotland
Edinburgh,Female,75 to 79,12.8,12.61,12.99,Scotland
Edinburgh,Female,80 to 84,9.54,9.37,9.71,Scotland
Edinburgh,Female,85 to 89,6.72,6.55,6.89,Scotland
Edinburgh,Female,90+,4.53,4.33,4.72,Scotland
East Dunbartonshire,Female,<1,83.48,82.93,84.03,Scotland
East Dunbartonshire,Female,01 to 04,82.54,82.01,83.08,Scotland
East Dunbartonshire,Female,05 to 09,78.54,78.01,79.08,Scotland
East Dunbartonshire,Female,10 to 14,73.54,73.01,74.08,Scotland
East Dunbartonshire,Female,15 to 19,68.54,68.01,69.08,Scotland
East Dunbartonshire,Female,20 to 24,63.58,63.05,64.12,Scotland
East Dunbartonshire,Female,25 to 29,58.75,58.24,59.26,Scotland
East Dunbartonshire,Female,30 to 34,53.9,53.41,54.39,Scotland
East Dunbartonshire,Female,35 to 39,48.96,48.48,49.44,Scotland
East Dunbartonshire,Female,40 to 44,44.18,43.72,44.65,Scotland
East Dunbartonshire,Female,45 to 49,39.41,38.96,39.85,Scotland
East Dunbartonshire,Female,50 to 54,34.63,34.2,35.06,Scotland
East Dunbartonshire,Female,55 to 59,30.01,29.6,30.43,Scotland
East Dunbartonshire,Female,60 to 64,25.48,25.09,25.88,Scotland
East Dunbartonshire,Female,65 to 69,21.12,20.75,21.5,Scotland
East Dunbartonshire,Female,70 to 74,17.01,16.65,17.36,Scotland
East Dunbartonshire,Female,75 to 79,13.02,12.69,13.36,Scotland
East Dunbartonshire,Female,80 to 84,9.65,9.34,9.97,Scotland
East Dunbartonshire,Female,85 to 89,6.73,6.41,7.05,Scotland
East Dunbartonshire,Female,90+,4.68,4.27,5.08,Scotland
Glasgow City,Female,<1,78.18,77.91,78.45,Scotland
Glasgow City,Female,01 to 04,77.48,77.23,77.74,Scotland
Glasgow City,Female,05 to 09,73.52,73.27,73.77,Scotland
Glasgow City,Female,10 to 14,68.53,68.28,68.78,Scotland
Glasgow City,Female,15 to 19,63.55,63.31,63.8,Scotland
Glasgow City,Female,20 to 24,58.63,58.38,58.87,Scotland
Glasgow City,Female,25 to 29,53.71,53.47,53.95,Scotland
Glasgow City,Female,30 to 34,48.79,48.55,49.03,Scotland
Glasgow City,Female,35 to 39,43.92,43.68,44.16,Scotland
Glasgow City,Female,40 to 44,39.17,38.94,39.41,Scotland
Glasgow City,Female,45 to 49,34.58,34.35,34.8,Scotland
Glasgow City,Female,50 to 54,30.22,30.01,30.43,Scotland
Glasgow City,Female,55 to 59,25.92,25.71,26.12,Scotland
Glasgow City,Female,60 to 64,21.73,21.54,21.93,Scotland
Glasgow City,Female,65 to 69,17.87,17.69,18.06,Scotland
Glasgow City,Female,70 to 74,14.32,14.14,14.49,Scotland
Glasgow City,Female,75 to 79,11,10.84,11.17,Scotland
Glasgow City,Female,80 to 84,8.29,8.14,8.44,Scotland
Glasgow City,Female,85 to 89,6.02,5.88,6.17,Scotland
Glasgow City,Female,90+,4.35,4.16,4.55,Scotland
Na h-Eileanan Siar,Female,<1,81.55,80.1,83,Scotland
Na h-Eileanan Siar,Female,01 to 04,81.37,80.24,82.5,Scotland
Na h-Eileanan Siar,Female,05 to 09,77.37,76.24,78.5,Scotland
Na h-Eileanan Siar,Female,10 to 14,72.78,71.79,73.77,Scotland
Na h-Eileanan Siar,Female,15 to 19,67.78,66.79,68.77,Scotland
Na h-Eileanan Siar,Female,20 to 24,62.78,61.79,63.77,Scotland
Na h-Eileanan Siar,Female,25 to 29,57.78,56.79,58.77,Scotland
Na h-Eileanan Siar,Female,30 to 34,52.78,51.79,53.77,Scotland
Na h-Eileanan Siar,Female,35 to 39,47.91,46.95,48.87,Scotland
Na h-Eileanan Siar,Female,40 to 44,43.24,42.36,44.13,Scotland
Na h-Eileanan Siar,Female,45 to 49,38.24,37.36,39.13,Scotland
Na h-Eileanan Siar,Female,50 to 54,33.66,32.83,34.49,Scotland
Na h-Eileanan Siar,Female,55 to 59,29.11,28.32,29.9,Scotland
Na h-Eileanan Siar,Female,60 to 64,24.66,23.91,25.41,Scotland
Na h-Eileanan Siar,Female,65 to 69,20.44,19.74,21.13,Scotland
Na h-Eileanan Siar,Female,70 to 74,16.28,15.64,16.93,Scotland
Na h-Eileanan Siar,Female,75 to 79,12.72,12.13,13.31,Scotland
Na h-Eileanan Siar,Female,80 to 84,9.33,8.8,9.86,Scotland
Na h-Eileanan Siar,Female,85 to 89,6.25,5.74,6.76,Scotland
Na h-Eileanan Siar,Female,90+,4.06,3.46,4.66,Scotland
Renfrewshire,Female,<1,80.12,79.65,80.59,Scotland
Renfrewshire,Female,01 to 04,79.39,78.95,79.82,Scotland
Renfrewshire,Female,05 to 09,75.42,74.99,75.85,Scotland
Renfrewshire,Female,10 to 14,70.42,69.99,70.85,Scotland
Renfrewshire,Female,15 to 19,65.47,65.04,65.89,Scotland
Renfrewshire,Female,20 to 24,60.49,60.06,60.91,Scotland
Renfrewshire,Female,25 to 29,55.57,55.15,55.98,Scotland
Renfrewshire,Female,30 to 34,50.7,50.29,51.11,Scotland
Renfrewshire,Female,35 to 39,45.9,45.5,46.3,Scotland
Renfrewshire,Female,40 to 44,41.18,40.79,41.57,Scotland
Renfrewshire,Female,45 to 49,36.56,36.19,36.92,Scotland
Renfrewshire,Female,50 to 54,32.04,31.7,32.39,Scotland
Renfrewshire,Female,55 to 59,27.61,27.28,27.94,Scotland
Renfrewshire,Female,60 to 64,23.26,22.95,23.58,Scotland
Renfrewshire,Female,65 to 69,19.09,18.79,19.39,Scotland
Renfrewshire,Female,70 to 74,15.17,14.89,15.44,Scotland
Renfrewshire,Female,75 to 79,11.6,11.34,11.86,Scotland
Renfrewshire,Female,80 to 84,8.48,8.24,8.72,Scotland
Renfrewshire,Female,85 to 89,6.14,5.9,6.38,Scotland
Renfrewshire,Female,90+,4.11,3.8,4.42,Scotland
Stirling,Female,<1,81.64,80.95,82.32,Scotland
Stirling,Female,01 to 04,80.87,80.24,81.51,Scotland
Stirling,Female,05 to 09,76.94,76.31,77.56,Scotland
Stirling,Female,10 to 14,71.94,71.31,72.56,Scotland
Stirling,Female,15 to 19,66.94,66.31,67.56,Scotland
Stirling,Female,20 to 24,62.09,61.48,62.69,Scotland
Stirling,Female,25 to 29,57.11,56.51,57.72,Scotland
Stirling,Female,30 to 34,52.29,51.7,52.88,Scotland
Stirling,Female,35 to 39,47.39,46.81,47.98,Scotland
Stirling,Female,40 to 44,42.75,42.2,43.3,Scotland
Stirling,Female,45 to 49,38.04,37.51,38.57,Scotland
Stirling,Female,50 to 54,33.43,32.92,33.94,Scotland
Stirling,Female,55 to 59,28.87,28.38,29.36,Scotland
Stirling,Female,60 to 64,24.59,24.12,25.06,Scotland
Stirling,Female,65 to 69,20.31,19.86,20.75,Scotland
Stirling,Female,70 to 74,16.44,16.02,16.86,Scotland
Stirling,Female,75 to 79,12.82,12.43,13.21,Scotland
Stirling,Female,80 to 84,9.47,9.09,9.84,Scotland
Stirling,Female,85 to 89,6.66,6.28,7.05,Scotland
Stirling,Female,90+,4.64,4.16,5.12,Scotland
Aberdeen City,Female,<1,80.71,80.24,81.17,Scotland
Aberdeen City,Female,01 to 04,80.1,79.68,80.52,Scotland
Aberdeen City,Female,05 to 09,76.17,75.75,76.59,Scotland
Aberdeen City,Female,10 to 14,71.19,70.78,71.61,Scotland
Aberdeen City,Female,15 to 19,66.24,65.83,66.65,Scotland
Aberdeen City,Female,20 to 24,61.31,60.91,61.72,Scotland
Aberdeen City,Female,25 to 29,56.41,56.01,56.81,Scotland
Aberdeen City,Female,30 to 34,51.49,51.1,51.89,Scotland
Aberdeen City,Female,35 to 39,46.57,46.17,46.96,Scotland
Aberdeen City,Female,40 to 44,41.83,41.44,42.21,Scotland
Aberdeen City,Female,45 to 49,37.21,36.84,37.58,Scotland
Aberdeen City,Female,50 to 54,32.65,32.29,33.01,Scotland
Aberdeen City,Female,55 to 59,28.24,27.9,28.58,Scotland
Aberdeen City,Female,60 to 64,23.94,23.62,24.27,Scotland
Aberdeen City,Female,65 to 69,19.79,19.48,20.09,Scotland
Aberdeen City,Female,70 to 74,15.89,15.61,16.18,Scotland
Aberdeen City,Female,75 to 79,12.29,12.02,12.56,Scotland
Aberdeen City,Female,80 to 84,9.16,8.91,9.4,Scotland
Aberdeen City,Female,85 to 89,6.36,6.11,6.6,Scotland
Aberdeen City,Female,90+,4.45,4.14,4.76,Scotland
Clackmannanshire,Female,<1,79.89,79.09,80.7,Scotland
Clackmannanshire,Female,01 to 04,78.89,78.09,79.7,Scotland
Clackmannanshire,Female,05 to 09,74.89,74.09,75.7,Scotland
Clackmannanshire,Female,10 to 14,69.89,69.09,70.7,Scotland
Clackmannanshire,Female,15 to 19,64.97,64.18,65.76,Scotland
Clackmannanshire,Female,20 to 24,60.05,59.27,60.83,Scotland
Clackmannanshire,Female,25 to 29,55.05,54.27,55.83,Scotland
Clackmannanshire,Female,30 to 34,50.11,49.34,50.88,Scotland
Clackmannanshire,Female,35 to 39,45.32,44.58,46.07,Scotland
Clackmannanshire,Female,40 to 44,40.65,39.95,41.36,Scotland
Clackmannanshire,Female,45 to 49,36.02,35.35,36.7,Scotland
Clackmannanshire,Female,50 to 54,31.47,30.83,32.11,Scotland
Clackmannanshire,Female,55 to 59,27.23,26.63,27.83,Scotland
Clackmannanshire,Female,60 to 64,22.89,22.32,23.46,Scotland
Clackmannanshire,Female,65 to 69,18.76,18.22,19.3,Scotland
Clackmannanshire,Female,70 to 74,14.93,14.43,15.43,Scotland
Clackmannanshire,Female,75 to 79,11.34,10.87,11.81,Scotland
